id_tramo;lat1;lon1;lat2;lon2;vel_max
382;42.5923534;-5.5660109;42.5923632;-5.5659624;30
383;42.5923632;-5.5659624;42.5923884;-5.5658379;30
384;42.5922522;-5.5662504;42.5921795;-5.5660485;30
385;42.5921795;-5.5660485;42.5920297;-5.5656479;30
386;42.5920297;-5.5656479;42.5920166;-5.5656101;30
387;42.5922522;-5.5662504;42.5923488;-5.5665174;30
388;42.5923488;-5.5665174;42.5923636;-5.5665566;30
389;42.5923636;-5.5665566;42.5925605;-5.5670633;30
390;42.5915913;-5.564293;42.591496;-5.5643592;30
391;42.591496;-5.5643592;42.5914497;-5.5643912;30
392;42.5914497;-5.5643912;42.5913683;-5.5644329;30
393;42.5915913;-5.564293;42.5916236;-5.5643829;30
394;42.5916236;-5.5643829;42.5918401;-5.5650339;30
395;42.5918401;-5.5650339;42.5918488;-5.5650602;30
396;42.5918488;-5.5650602;42.5918708;-5.5651269;30
397;42.5918708;-5.5651269;42.5918843;-5.5651679;30
398;42.5918843;-5.5651679;42.5919399;-5.5653973;30
399;42.6117272;-5.5869101;42.6120863;-5.5872861;30
400;42.6120863;-5.5872861;42.6121775;-5.5873397;30
401;42.6121775;-5.5873397;42.6122301;-5.587375;30
402;42.591469;-5.5639748;42.5915588;-5.5642029;30
403;42.5915588;-5.5642029;42.5915913;-5.564293;30
404;42.5965986;-5.5778778;42.5967054;-5.5779748;30
405;42.5967054;-5.5779748;42.5969479;-5.5781949;30
406;42.5969479;-5.5781949;42.5970291;-5.5782686;30
407;42.5970291;-5.5782686;42.5975699;-5.5787593;30
408;42.5975699;-5.5787593;42.5976543;-5.5788359;30
409;42.5965986;-5.5778778;42.5965943;-5.5779143;30
410;42.5965943;-5.5779143;42.5965422;-5.5781044;30
411;42.5965422;-5.5781044;42.5965252;-5.5781705;30
412;42.5987228;-5.5798056;42.5986507;-5.5798632;30
413;42.5987228;-5.5798056;42.5991247;-5.580176;30
414;42.5991247;-5.580176;42.5991634;-5.5802107;30
415;42.5991634;-5.5802107;42.5997419;-5.5807305;30
416;42.5999464;-5.580917;42.5999089;-5.5809926;30
417;42.5999464;-5.580917;42.6000614;-5.5810209;30
418;42.6000614;-5.5810209;42.6004236;-5.5813481;30
419;42.6012811;-5.5808787;42.6013504;-5.5809388;30
420;42.6012811;-5.5808787;42.6017272;-5.5801464;30
421;42.6017272;-5.5801464;42.6018121;-5.5800159;30
422;42.6018121;-5.5800159;42.6018545;-5.5799462;30
423;42.6018545;-5.5799462;42.6018803;-5.5798552;30
424;42.6018803;-5.5798552;42.601899;-5.5797386;30
425;42.5980968;-5.5716794;42.5981238;-5.5716816;30
426;42.5981238;-5.5716816;42.5981657;-5.5716958;30
427;42.5981657;-5.5716958;42.5982042;-5.5717223;30
428;42.5982042;-5.5717223;42.5982374;-5.5717598;30
429;42.5982374;-5.5717598;42.5982635;-5.5718064;30
430;42.5982635;-5.5718064;42.5982813;-5.5718599;30
431;42.5982813;-5.5718599;42.5982899;-5.5719173;30
432;42.5982899;-5.5719173;42.5982888;-5.5719759;30
433;42.5981238;-5.5716816;42.5981667;-5.5716632;30
434;42.5981667;-5.5716632;42.5981931;-5.5716643;30
435;42.5981931;-5.5716643;42.5982089;-5.5716738;30
436;42.5982089;-5.5716738;42.5982408;-5.5716928;30
437;42.5982408;-5.5716928;42.5982777;-5.5717323;30
438;42.5982777;-5.5717323;42.598321;-5.5718129;30
439;42.598321;-5.5718129;42.5983337;-5.5718421;30
440;42.5982888;-5.5719759;42.5982818;-5.5720181;30
441;42.5982818;-5.5720181;42.5982698;-5.572058;30
442;42.5982698;-5.572058;42.5982555;-5.5720901;30
443;42.5982555;-5.5720901;42.598238;-5.5721191;30
444;42.598238;-5.5721191;42.5982063;-5.5721557;30
445;42.5982063;-5.5721557;42.5981695;-5.572182;30
446;42.5981695;-5.572182;42.5981293;-5.572197;30
447;42.5981293;-5.572197;42.598081;-5.5722282;30
448;42.598081;-5.5722282;42.5980487;-5.5722341;30
449;42.5980487;-5.5722341;42.5978493;-5.5722168;30
450;42.5978493;-5.5722168;42.5977881;-5.5722097;30
451;42.5981293;-5.572197;42.5980807;-5.5721992;30
452;42.5980807;-5.5721992;42.5980333;-5.5721846;30
453;42.5980333;-5.5721846;42.5979901;-5.5721543;30
454;42.5979901;-5.5721543;42.5979538;-5.5721102;30
455;42.5979538;-5.5721102;42.597927;-5.5720551;30
456;42.597927;-5.5720551;42.5979134;-5.5720055;30
457;42.5979134;-5.5720055;42.5979074;-5.5719532;30
458;42.5979074;-5.5719532;42.5979094;-5.5719003;30
459;42.607665;-5.5843331;42.608125;-5.5846305;30
460;42.608125;-5.5846305;42.6081932;-5.5846693;30
461;42.6084074;-5.5848314;42.6084946;-5.5848358;30
462;42.6084946;-5.5848358;42.6085761;-5.5848782;30
463;42.5944422;-5.5721865;42.5943515;-5.5722127;30
464;42.5938278;-5.5722761;42.5938607;-5.5718183;30
465;42.5939231;-5.5722906;42.5938278;-5.5722761;50
466;42.5974348;-5.5719931;42.5974433;-5.5719575;30
467;42.5974433;-5.5719575;42.597464;-5.5718704;30
468;42.597464;-5.5718704;42.597585;-5.5713765;30
469;42.597585;-5.5713765;42.5976968;-5.5709165;30
